Incidence matrix:
     |  e01 e02 e03 e04 e05 e06 e07 e08 e09 e10
-----------------------------------------------
 u01 |  -1  -1   1   0   0   0   0   0   0   0
     |
 u02 |   1   0   0   1   0   0   0   0   0   0
     |
 u03 |   0   0  -1  -1   1   0   0   0   0   0
     |
 u04 |   0   1   0   0  -1  -1  -1   0   1   0
     |
 u05 |   0   0   0   0   0   1   0  -1   0   0
     |
 u06 |   0   0   0   0   0   0   0   1  -1   1
     |
 u07 |   0   0   0   0   0   0   1   0   0  -1

Adjacency matrix:
     |  u01 u02 u03 u04 u05 u06 u07
-----------------------------------
 u01 |   0   1   0   1   0   0   0
     |
 u02 |   0   0   0   0   0   0   0
     |
 u03 |   1   1   0   0   0   0   0
     |
 u04 |   0   0   1   0   1   0   1
     |
 u05 |   0   0   0   0   0   1   0
     |
 u06 |   0   0   0   1   0   0   0
     |
 u07 |   0   0   0   0   0   1   0

